entry_id,question,answer,,,,,,,,,,,,,,,,,,,,,,,
FIG-001,"Which of the following ecological concepts is best represented by the figure?
a.) Intermediate Disturbance Hypothesis 
b.) Positive Interactions and Facilitation
c.) Apparent Competition 
d) Character Displacement",b.) Positive Interactions and Facilitation,,,,,,,,,,,,,,,,,,,,,,,
FIG-001,"Facilitation often involves stress amelioration. Based on Figure 3, identify at least two abiotic stressors in the tidal marsh that are being reduced by the presence of fire ant mounds. Use specific data to support your answer.","#1 Low oxygen levels in dirt. Figure 3a shows that the sediment water content (% H2O) is significantly lower at the center and edge of the ant mounds compared to the surrounding marsh sediment. The sediment at the edge of the mound contains less water than sediment far from the mounds. By reducing the moisture levels, the ants' engineering activity improves soil aeration, effectively ameliorating the physical stress of anaerobic/anoxic conditions. 

#2 Nutrient limitation. Figures 3d and 3e demonstrate that ant mounds create ""nutrient hotspots"" by increasing the availability of these essential elements: Figure 3d shows that nitrate levels are twice as high in the center of ant mounds when cavy droppings are present compared to plain sediment. Figure 3e indicates that phosphate content is approximately 2.5 times higher in the sediment next to ant mounds with dropping additions than in all other treatment combinations.",,,,,,,,,,,,,,,,,,,,,,,
FIG-001,"The authors suggest a reciprocal feedback loop between ants and cavies. Using the chemical data in Figure 3 and the growth data in Figure 4, reconstruct the logic of this loop: How does the ants' handling of cavy droppings (Fig. 3) ultimately lead to the plant growth patterns seen in Figure 4?","The loop works something like this: The ants translocate the droppings into their mounds, which leads to a chemical shift in the soil (as depicted in Figure 3). This chemical shift facilitates the growth of plants, nearly doubling their growth rates (as shown in Figure 4). Due to this, more cavies are attracted to the area, which further resupplies the system with droppings as they forage on the increased plant growth. The ants play a crucial role in this process!",,,,,,,,,,,,,,,,,,,,,,,
FIG-001,"Figure 4 presents a three-way factorial experiment. Based on the growth ratios, does the negative effect of herbivory (the difference between ""Cavies"" and ""Cavies exclusion"") outweigh the positive effect of nutrient addition?","The negative effect of herbivory does not outweigh the positive effect of nutrient addition. The researchers found no significant effect of cavy presence on the stem growth rate of the cordgrass, whereas the presence of ant mounds and cavy droppings significantly increased plant productivity. In plots where both facilitators were present, growth rates were almost 2 times higher than in control plots, proving that the nutrient enrichment provided by the ant-cavy interaction more than compensates for the pressure of cavy foraging.",,,,,,,,,,,,,,,,,,,,,,,
FIG-002,"In Figure 2, macrodetritivore abundance varies significantly across the CR (high salamander density) and SR (low salamander density) treatments. Does the direction of this variation support a model of bottom-up regulation or top-down regulation?",Top-down control,,,,,,,,,,,,,,,,,,,,,,,
FIG-002,"In the figure, CR stands for centipede removal, and SR stands for salamander removal. Considering salamander densities across these regions, and that both taxa are members of the same forest-floor predator guild, what do these results suggest about their (negative) interactions?","Negative interactions, competition for resources, character displacement",,,,,,,,,,,,,,,,,,,,,,,
FIG-002,"This data presents a counterintuitive complexity. Macrodetritivores (millipedes, isopods, and slugs) were actually more abundant where their supposed predator (the salamander) was most numerous (the CR treatment). Why does this occur, and how does it support your answer to Question 1?",Net indirect benefit through top down control,,,,,,,,,,,,,,,,,,,,,,,
FIG-002,"In plots where salamanders were removed (SR), spider abundance increased. If spiders and salamanders are “functionally equivalent"" and eat the same prey, will a similar experiment on spiders yield the same results? In other words, why does diversity increase ecosystem function?",Redundancy or Functional Redundancy,,,,,,,,,,,,,,,,,,,,,,,
FIG-003,"Which of the following ecological concepts is best represented by Figure 3?
A. Trophic Cascades
B. Spatial Heterogeneity
C. Ecological Succession
D. Biological Magnification
E. Competitive Exclusion",B. Spatial Heterogeneity,,,,,,,,,,,,,,,,,,,,,,,
FIG-003,"Look at Panel (g) Grain production. As you move from the Control (Category 0) to the highest concentration of biochar (Category 4), does the grain yield increase or decrease? Based on the y-axis, approximately how many more grams of grain per square meter (gm?2) does a plant in Category 4 produce compared to a plant in Category 0?","The grain yield increases. Category 0 is roughly 450 gm?2, while category 4 is roughly 550 gm?2, an increase of about 100 gm?2.",,,,,,,,,,,,,,,,,,,,,,,
